"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 21 01:17:51 BST 2021","Wed Jul 21 01:17:51 BST 2021","474","","Campaign page menu bar and menu items items: Validate Navigation Side bar menu item ""Own""","","Campaign page menu bar and menu items items: Validate Navigation Side bar menu item ""Own""","Then I see sub menu drawer with title ""Own"" is displayed in side nav bar","Then I see sub menu drawer with title ""Own"" is displayed in side nav bar",""
"passed","Wed Jul 21 01:16:11 BST 2021","Wed Jul 21 01:16:23 BST 2021","12008","","Campaign page menu bar and menu items items: Validate Navigation Side bar show hide","","Campaign page menu bar and menu items items: Validate Navigation Side bar show hide","Then I see side navigation bar is ""displayed""","Then I see side navigation bar is ""displayed""",""
"passed","Wed Jul 21 01:15:40 BST 2021","Wed Jul 21 01:15:40 BST 2021","2","","Campaign carousel items: Validate carousel items displayed model name ""XC40 Recharge"" and recharge type ""pure electric""","","Campaign carousel items: Validate carousel items displayed model name ""XC40 Recharge"" and recharge type ""pure electric""","","",""
"passed","Wed Jul 21 01:08:56 BST 2021","Wed Jul 21 01:09:04 BST 2021","8025","","Campaign carousel items: Validate carousel items displayed model name ""XC90 Recharge"" and recharge type ""plug-in hybrid""","","Campaign carousel items: Validate carousel items displayed model name ""XC90 Recharge"" and recharge type ""plug-in hybrid""","Then I see carousel item displayed with model name ""XC90 Recharge"" and recharge type ""plug-in hybrid""","Then I see carousel item displayed with model name ""XC90 Recharge"" and recharge type ""plug-in hybrid""",""
"passed","Wed Jul 21 01:17:44 BST 2021","Wed Jul 21 01:17:45 BST 2021","1021","","Campaign page menu bar and menu items items: Validate Navigation Side bar menu item ""Own""","","Campaign page menu bar and menu items items: Validate Navigation Side bar menu item ""Own""","Then I see side navigation bar is ""not displayed""","Then I see side navigation bar is ""not displayed""",""
"passed","Wed Jul 21 00:36:10 BST 2021","Wed Jul 21 00:36:16 BST 2021","5911","","Campaign carousel items: Validate carousel items displayed model name ""XC40 Recharge"" and recharge type ""plug-in hybrid""","","Campaign carousel items: Validate carousel items displayed model name ""XC40 Recharge"" and recharge type ""plug-in hybrid""","Given I am on campaign page","Given I am on campaign page",""
"passed","Wed Jul 21 01:19:48 BST 2021","Wed Jul 21 01:20:09 BST 2021","21247","","Campaign page menu bar and menu items items: Validate Navigation Side bar menu item ""More""","","Campaign page menu bar and menu items items: Validate Navigation Side bar menu item ""More""","Then I validate sub menu items ""Company, Contact Us"" in side nav","Then I validate sub menu items ""Company, Contact Us"" in side nav",""
"passed","Wed Jul 21 01:15:03 BST 2021","Wed Jul 21 01:15:32 BST 2021","29902","","Campaign carousel items: Validate carousel items displayed model name ""XC40 Recharge"" and recharge type ""pure electric""","","Campaign carousel items: Validate carousel items displayed model name ""XC40 Recharge"" and recharge type ""pure electric""","Given I am on campaign page","Given I am on campaign page",""
"passed","Wed Jul 21 01:16:23 BST 2021","Wed Jul 21 01:16:24 BST 2021","1245","","Campaign page menu bar and menu items items: Validate Navigation Side bar show hide","","Campaign page menu bar and menu items items: Validate Navigation Side bar show hide","When I click side menu bar close icon","When I click side menu bar close icon",""
"passed","Wed Jul 21 01:18:34 BST 2021","Wed Jul 21 01:18:35 BST 2021","971","","Campaign page menu bar and menu items items: Validate Navigation Side bar menu item ""Why Volvo""","","Campaign page menu bar and menu items items: Validate Navigation Side bar menu item ""Why Volvo""","Then I see side navigation bar is ""not displayed""","Then I see side navigation bar is ""not displayed""",""
"passed","Wed Jul 21 01:13:04 BST 2021","Wed Jul 21 01:13:04 BST 2021","96","","Campaign page menu bar and menu items items: Validate Navigation Side bar menu item ""Explore""","","Campaign page menu bar and menu items items: Validate Navigation Side bar menu item ""Explore""","Then I validate main menu item ""Explore"" in side nav bar","Then I validate main menu item ""Explore"" in side nav bar",""
"passed","Wed Jul 21 01:14:41 BST 2021","Wed Jul 21 01:14:49 BST 2021","8013","","Campaign carousel items: Validate carousel items displayed model name ""XC60 Recharge"" and recharge type ""plug-in hybrid""","","Campaign carousel items: Validate carousel items displayed model name ""XC60 Recharge"" and recharge type ""plug-in hybrid""","Then I see carousel item displayed with model name ""XC60 Recharge"" and recharge type ""plug-in hybrid""","Then I see carousel item displayed with model name ""XC60 Recharge"" and recharge type ""plug-in hybrid""",""
"passed","Wed Jul 21 01:16:24 BST 2021","Wed Jul 21 01:16:54 BST 2021","30029","","Campaign page menu bar and menu items items: Validate Navigation Side bar menu item ""Buy""","","Campaign page menu bar and menu items items: Validate Navigation Side bar menu item ""Buy""","Given I am on campaign page","Given I am on campaign page",""
"passed","Wed Jul 21 01:09:16 BST 2021","Wed Jul 21 01:09:20 BST 2021","3594","","Campaign carousel items: Validate carousel items displayed model name ""XC40 Recharge"" and recharge type ""plug-in hybrid""","","Campaign carousel items: Validate carousel items displayed model name ""XC40 Recharge"" and recharge type ""plug-in hybrid""","Given I am on campaign page","Given I am on campaign page",""
"passed","Wed Jul 21 01:15:32 BST 2021","Wed Jul 21 01:15:40 BST 2021","8016","","Campaign carousel items: Validate carousel items displayed model name ""XC40 Recharge"" and recharge type ""pure electric""","","Campaign carousel items: Validate carousel items displayed model name ""XC40 Recharge"" and recharge type ""pure electric""","Then I see carousel item displayed with model name ""XC40 Recharge"" and recharge type ""pure electric""","Then I see carousel item displayed with model name ""XC40 Recharge"" and recharge type ""pure electric""",""
"passed","Wed Jul 21 01:18:35 BST 2021","Wed Jul 21 01:18:35 BST 2021","602","","Campaign page menu bar and menu items items: Validate Navigation Side bar menu item ""Why Volvo""","","Campaign page menu bar and menu items items: Validate Navigation Side bar menu item ""Why Volvo""","When I click hamburger icon in top nav bar","When I click hamburger icon in top nav bar",""
"passed","Wed Jul 21 01:19:47 BST 2021","Wed Jul 21 01:19:48 BST 2021","755","","Campaign page menu bar and menu items items: Validate Navigation Side bar menu item ""More""","","Campaign page menu bar and menu items items: Validate Navigation Side bar menu item ""More""","Then I see sub menu drawer with title ""More"" is displayed in side nav bar","Then I see sub menu drawer with title ""More"" is displayed in side nav bar",""
"passed","Wed Jul 21 01:11:32 BST 2021","Wed Jul 21 01:11:33 BST 2021","505","","Campaign page menu bar and menu items items: Validate Navigation Side bar menu item ""Own""","","Campaign page menu bar and menu items items: Validate Navigation Side bar menu item ""Own""","When I click main menu item ""Own"" in side nav bar","When I click main menu item ""Own"" in side nav bar",""
"passed","Wed Jul 21 01:17:38 BST 2021","Wed Jul 21 01:17:44 BST 2021","6457","","Campaign page menu bar and menu items items: Validate Navigation Side bar menu item ""Own""","","Campaign page menu bar and menu items items: Validate Navigation Side bar menu item ""Own""","Given I am on campaign page","Given I am on campaign page",""
"passed","Wed Jul 21 01:10:38 BST 2021","Wed Jul 21 01:11:12 BST 2021","33454","","Campaign page menu bar and menu items items: Validate Navigation Side bar menu item ""Buy""","","Campaign page menu bar and menu items items: Validate Navigation Side bar menu item ""Buy""","Then I validate sub menu items ""Fleet sales, Used cars,Diplomatic sales, Child seats"" in side nav","Then I validate sub menu items ""Fleet sales, Used cars,Diplomatic sales, Child seats"" in side nav",""
